"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reaches local memory sink 'memcpy'","/libs/mysql/containers/buffers/buffer_sequence_view.h","143","7","143","17"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reaches local memory sink 'memcpy'","/include/my_char_traits.h","80","37","80","42"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/sql/field.h","3819","30","3819","34"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'field'","/sql/item.h","4605","53","4605","57"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'm_table_ref'","/sql/item.h","6329","25","6329","35"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'result_field'","/sql/item_cmpfunc.h","392","29","392","40"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/sql/handler.h","7600","5","7600","9"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reaches local memory sink 'memset'","/storage/innobase/include/ut0bitset.h","101","24","101","29"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reaches local memory sink 'memset'","/storage/innobase/log/log0meb.cc","100","5","100","10"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/storage/ndb/plugin/ha_ndbcluster_cond.cc","296","41","296","45"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/storage/ndb/plugin/ha_ndbcluster_cond.cc","296","55","296","59"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/storage/ndb/plugin/ha_ndbcluster_cond.cc","299","40","299","44"
"MySQL priority local memory sinks","Lightweight MySQL memory sink query. It reports memory/copy/allocation calls and metadata accesses inside Stage-0 priority functions without running global taint flow.","warning","MySQL priority function reads table/field metadata 'table'","/storage/ndb/include/util/HashMap2.hpp","340","14","340","18"
