run,log_id,first_seen_hours,bug_id,status,match_status,match_confidence,validation_ref,top_frame,reason,log_path,final_testcase_summary
r1,id_000000_20260705_05h03m19s,0.0,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd1/logSaved/id_000000_20260705_05h03m19s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 308 stoped signal number=11"
r1,id_000001_20260705_16h02m32s,10.986944,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd1/logSaved/id_000001_20260705_16h02m32s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 947 stoped signal number=11"
r1,id_000002_20260705_22h16m49s,17.225,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd1/logSaved/id_000002_20260705_22h16m49s/griffin.log,"select * from pg_catalog . pg_tables where schemaname = 'x' order by oid ; select * from pg_catalog . pg_tables where 1 + 1 order by oid ; select * from x , x , x , x join x join x join x join x join x join x join x join x join x join x join x join x join x jo"
r2,id_000000_20260705_05h03m28s,0.0,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd2/logSaved/id_000000_20260705_05h03m28s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 239 stoped signal number=11"
r2,id_000001_20260705_07h46m14s,2.712778,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd2/logSaved/id_000001_20260705_07h46m14s/griffin.log,select a from a for key share ; child 15973 stoped signal number=14 child 15973 stoped signal number=6
r2,id_000002_20260705_16h02m25s,10.9825,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd2/logSaved/id_000002_20260705_16h02m25s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 842 stoped signal number=11"
r3,id_000000_20260705_05h03m54s,0.0,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd3/logSaved/id_000000_20260705_05h03m54s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 286 stoped signal number=11"
r3,id_000001_20260705_16h02m46s,10.981111,,Excluded,excluded_not_in_user_report_whitelist,excluded,,ExecInterpExpr,"matches postgres.md BUG-032, but that file is not in the user-provided real-report whitelist for this filtering pass.",/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd3/logSaved/id_000001_20260705_16h02m46s/griffin.log,"select from ( select generate_series ( 1 , '31' ) x ) group by ( x ) window w as ( order by ( with x as ( with x as ( select sum ( x ) ) select distinct * from x ) ( select ( count ( ( select x from x ) ) ) ) ) );child 1006 stoped signal number=11"
r3,id_000002_20260705_21h28m48s,16.415,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd3/logSaved/id_000002_20260705_21h28m48s/griffin.log,"select 'x' , 'x' , 1 , 1 from ( with x as ( with recursive x ( x ) as ( with recursive x ( x ) as ( select 1 union select ( select 1 ) ) select 1 union select all x from ( select * from x where not null = 1.000000 ) natural join x where not exists ( select 1 f"
r3,id_000003_20260706_00h31m15s,19.455833,,Excluded,excluded_unmatched_report_whitelist,excluded,,pthread_kill,WAL/XLog/commit abort; not in 19466/19469/19470 report whitelist.,/root/dfuzz-griffin/griffin_output/griffin_postgres_sqleek_rnd3/logSaved/id_000003_20260706_00h31m15s/griffin.log,"select 'x' , 'x' , 1 , 1 from ( with x as ( with recursive x ( x ) as ( with recursive x ( x ) as ( select 1 union select ( select 1 ) ) select 1 union select all x from ( select * from x where not null = 1.000000 ) natural join x where not exists ( select 1 f"
